DatGeracaoConjuntoDados;AnoReferencia;MesReferencia;NomUF;SigUF;MdaPotenciaInstaladakW
2026-07-01;2012;3 ;MATO GROSSO DO SUL;MS;8297695,00
2026-07-01;2012;3 ;MATO GROSSO;MT;2617257,82
2026-07-01;2012;3 ;PARA;PA;8883553,40
2026-07-01;2012;3 ;PARAIBA;PB;637470,00
2026-07-01;2012;3 ;PERNAMBUCO;PE;2816455,70
2026-07-01;2012;3 ;PIAUI;PI;316944,00
2026-07-01;2012;3 ;PARANA;PR;17761687,20
2026-07-01;2012;3 ;RIO DE JANEIRO;RJ;8683482,40
2026-07-01;2012;3 ;RIO GRANDE DO NORTE;RN;847620,00
2026-07-01;2012;3 ;RONDONIA;RO;1149179,48
2026-07-01;2012;3 ;RORAIMA;RR;122610,40
2026-07-01;2012;3 ;RIO GRANDE DO SUL;RS;8792286,80
2026-07-01;2012;3 ;SANTA CATARINA;SC;7102818,10
2026-07-01;2012;3 ;SERGIPE;SE;3237779,40
2026-07-01;2012;3 ;SÃO PAULO;SP;24255748,98
2026-07-01;2012;3 ;TOCANTINS;TO;2460380,00
2026-07-01;2012;6 ;ACRE;AC;180682,10
2026-07-01;2012;6 ;ALAGOAS;AL;7690486,50
2026-07-01;2012;6 ;AMAZONAS;AM;2259370,00
2026-07-01;2012;6 ;AMAPA;AP;297949,00
2026-07-01;2012;6 ;BAHIA;BA;9727967,30
2026-07-01;2012;6 ;MARANHAO;CE;1381485,00
2026-07-01;2012;6 ;DISTRITO FEDERAL;DF;43258,00
2026-07-01;2012;6 ;ESPIRITO SANTO;ES;1970988,00
2026-07-01;2012;6 ;GOIAS;GO;10021568,20
2026-07-01;2012;6 ;CEARA;MA;1452199,80
2026-07-01;2012;6 ;MINAS GERAIS;MG;19593728,45
2026-07-01;2012;6 ;MATO GROSSO DO SUL;MS;8426416,00
2026-07-01;2012;6 ;MATO GROSSO;MT;2617257,82
2026-07-01;2012;6 ;PARA;PA;8883553,40
2026-07-01;2012;6 ;PARAIBA;PB;637470,00
2026-07-01;2012;6 ;PERNAMBUCO;PE;2815855,70
2026-07-01;2012;6 ;PIAUI;PI;316944,00
2026-07-01;2012;6 ;PARANA;PR;17761687,20
2026-07-01;2012;6 ;RIO DE JANEIRO;RJ;8695982,40
2026-07-01;2012;6 ;RIO GRANDE DO NORTE;RN;847620,00
2026-07-01;2012;6 ;RONDONIA;RO;1289300,48
2026-07-01;2012;6 ;RORAIMA;RR;122610,40
2026-07-01;2012;6 ;RIO GRANDE DO SUL;RS;8832485,40
2026-07-01;2012;6 ;SANTA CATARINA;SC;7122985,10
2026-07-01;2012;6 ;SERGIPE;SE;3237779,40
2026-07-01;2012;6 ;SÃO PAULO;SP;24489207,98
2026-07-01;2012;6 ;TOCANTINS;TO;2596255,00
2026-07-01;2012;9 ;ACRE;AC;297949,00
2026-07-01;2012;9 ;ALAGOAS;AL;8440948,00
2026-07-01;2012;9 ;AMAZONAS;AM;2732130,00
2026-07-01;2012;9 ;AMAPA;AP;316944,00
2026-07-01;2012;9 ;BAHIA;BA;10217748,00
2026-07-01;2012;9 ;CEARA;CE;1588075,00
2026-07-01;2012;9 ;DISTRITO FEDERAL;DF;43766,00
2026-07-01;2012;9 ;ESPIRITO SANTO;ES;1970988,00
2026-07-01;2012;9 ;GOIAS;GO;9814102,00
2026-07-01;2012;9 ;MARANHAO;MA;1352580,00
2026-07-01;2012;9 ;MINAS GERAIS;MG;19652361,00
2026-07-01;2012;9 ;MATO GROSSO DO SUL;MS;8752486,00
2026-07-01;2012;9 ;MATO GROSSO;MT;2625758,00
2026-07-01;2012;9 ;PARA;PA;8885585,00
2026-07-01;2012;9 ;PARAIBA;PB;122610,00
2026-07-01;2012;9 ;PERNAMBUCO;PE;2816730,00
2026-07-01;2012;9 ;PIAUI;PI;637470,00
2026-07-01;2012;9 ;PARANA;PR;17776227,00
2026-07-01;2012;9 ;RIO DE JANEIRO;RJ;8878279,00
2026-07-01;2012;9 ;RIO GRANDE DO NORTE;RN;855754,00
2026-07-01;2012;9 ;RONDONIA;RO;1381485,00
2026-07-01;2012;9 ;RORAIMA;RR;159722,00
2026-07-01;2012;9 ;RIO GRANDE DO SUL;RS;7690487,00
2026-07-01;2012;9 ;SANTA CATARINA;SC;7132165,00
2026-07-01;2012;9 ;SERGIPE;SE;3272279,00
2026-07-01;2012;9 ;SÃO PAULO;SP;24817144,00
2026-07-01;2012;9 ;TOCANTINS;TO;2259870,00
2026-07-01;2012;12;ACRE;AC;165480,90
2026-07-01;2012;12;ALAGOAS;AL;7690486,50
2026-07-01;2012;12;AMAZONAS;AM;2259870,00
2026-07-01;2012;12;AMAPA;AP;297949,00
2026-07-01;2012;12;BAHIA;BA;9741812,30
